Date,hash_ate,transaction_count,s&p500,gold,13w_treasury,usd_index,Unnamed: 0,Open,High,Low,Close,Volume,Market Cap,SMA,EMA,RSI,VWAP,ATR,OBV,google_trends,forecast
2016-03-14,0,0,1,0,2,2,2,2,2,1,2,0,0,0,1,0,0,1,1,1,1
2016-03-21,2,1,2,0,2,1,1,0,2,1,1,1,2,2,1,2,0,0,1,2,2
2016-03-28,2,0,1,0,2,2,2,2,2,1,2,0,0,1,0,0,0,2,1,2,1
2016-04-04,2,1,2,0,2,2,1,0,2,1,1,1,2,0,0,2,0,1,1,1,2
2016-04-11,2,1,1,0,2,1,2,2,2,1,2,0,0,2,0,0,0,0,2,1,0
2016-04-18,2,2,1,0,1,1,1,0,2,1,0,2,0,1,0,0,0,2,0,2,2
2016-04-25,2,0,2,0,2,2,2,2,2,1,2,0,0,0,0,0,0,1,0,1,1
2016-05-02,2,1,1,0,2,1,1,0,2,1,1,0,2,2,0,2,0,0,2,1,2
2016-05-09,2,0,2,0,0,1,2,2,2,1,2,1,0,1,0,0,0,2,1,2,0
2016-05-16,2,1,1,0,0,1,1,1,2,1,0,0,2,0,2,2,0,0,1,2,1
2016-05-23,2,0,2,0,2,1,2,0,2,1,1,1,2,2,1,2,0,2,1,1,2
2016-05-30,2,1,1,0,2,2,1,2,2,1,2,0,0,1,0,0,0,1,1,1,0
2016-06-06,2,1,2,0,2,1,2,2,2,1,0,1,0,0,0,0,0,0,1,2,2
2016-06-13,2,1,1,0,1,2,1,0,2,1,2,0,0,2,0,0,0,0,1,1,0
2016-06-20,2,2,2,0,2,1,2,2,2,1,0,1,0,1,2,2,0,0,1,2,1
2016-06-27,2,0,1,0,0,1,1,0,2,1,1,0,2,0,1,2,0,0,2,2,2
2016-07-04,2,1,2,0,0,1,2,2,2,1,2,1,0,2,0,0,0,2,0,2,1
2016-07-11,2,0,1,0,0,1,1,0,2,1,1,0,2,0,2,2,0,1,2,2,2
2016-07-18,2,1,1,0,0,1,2,2,2,1,2,1,0,2,1,0,0,0,0,2,0
2016-07-25,2,1,2,0,2,2,1,1,2,1,0,0,2,0,1,2,0,2,2,2,1
2016-08-01,2,1,1,0,0,1,2,1,2,1,1,2,2,2,1,2,0,1,0,1,0
2016-08-08,2,1,1,0,0,2,1,1,2,1,0,0,2,0,1,0,0,0,0,1,1
2016-08-15,2,1,2,0,0,2,2,0,2,1,1,1,2,2,1,2,0,2,2,2,2
2016-08-22,2,2,2,0,0,1,1,2,2,1,2,0,0,0,1,0,0,0,0,1,1
2016-08-29,2,0,1,0,2,1,2,0,2,1,1,0,2,2,1,2,0,2,2,2,2
2016-09-05,0,1,2,0,1,2,1,2,2,1,2,1,0,1,0,0,0,1,1,2,0
2016-09-12,1,0,1,0,2,1,2,0,2,1,0,0,0,1,0,2,0,0,1,2,2
2016-09-19,0,1,2,0,2,2,1,2,2,1,2,1,0,0,2,0,0,2,0,2,1
2016-09-26,1,1,1,0,0,2,2,0,2,1,1,0,2,2,1,2,0,1,2,2,2
2016-10-03,0,1,2,0,0,1,1,2,2,1,2,1,0,1,0,0,0,0,1,1,0
2016-10-10,1,2,2,0,2,1,2,2,2,1,0,0,0,0,0,0,0,2,1,0,2
2016-10-17,0,0,1,0,1,1,1,0,2,1,2,1,0,2,0,0,0,1,1,0,0
2016-10-24,1,1,2,0,2,2,2,2,2,1,0,0,0,1,0,0,0,0,2,0,2
2016-10-31,1,1,2,0,0,2,1,0,2,1,2,2,0,0,0,0,0,0,1,2,0
2016-11-07,0,1,1,0,0,1,2,2,2,1,0,0,0,2,0,2,0,0,1,1,2
2016-11-14,1,1,2,0,2,1,1,0,2,1,2,1,0,1,0,2,0,2,1,2,0
2016-11-21,0,1,1,0,1,1,2,2,2,1,0,0,0,0,0,0,0,0,1,2,1
2016-11-28,1,1,2,0,2,2,1,0,2,1,1,2,2,2,0,2,0,2,2,1,2
2016-12-05,0,2,1,0,1,1,2,2,2,1,2,0,0,1,0,0,0,1,1,2,0
2016-12-12,1,0,2,0,2,1,1,0,2,1,0,1,0,0,0,0,0,0,1,1,2
2016-12-19,0,1,1,0,1,1,2,2,2,1,2,0,0,2,0,0,0,2,1,1,0
2016-12-26,1,2,2,0,2,2,1,0,2,1,0,2,0,1,0,0,0,1,1,1,2
2017-01-02,1,0,1,0,0,2,2,2,2,1,2,0,0,1,0,0,0,0,1,2,0
2017-01-09,0,1,2,0,0,2,1,1,2,1,0,1,2,0,2,2,0,0,2,2,1
2017-01-16,1,2,2,0,2,2,2,0,2,1,1,0,2,2,1,2,0,0,1,2,2
2017-01-23,0,2,1,0,1,2,1,2,2,1,2,1,0,1,0,0,0,2,1,2,1
2017-01-30,1,0,2,0,2,2,2,0,2,1,1,0,0,0,0,2,0,0,1,2,2
2017-02-06,0,1,1,0,1,1,1,2,2,1,2,2,0,2,0,0,0,2,1,2,1
2017-02-13,1,2,2,0,2,1,2,0,2,1,1,0,2,1,0,2,0,1,2,2,2
2017-02-20,0,0,1,0,2,1,1,2,2,1,2,2,0,0,0,0,0,0,1,1,0
2017-02-27,1,1,1,0,0,1,2,0,2,1,0,0,0,2,0,0,0,2,1,2,2
2017-03-06,0,2,2,0,0,2,1,2,2,1,2,2,0,1,2,0,0,1,1,1,1
2017-03-13,1,0,1,0,2,2,2,1,2,1,1,0,2,0,1,2,0,0,2,2,0
2017-03-20,0,1,2,0,1,2,1,1,2,1,0,1,2,2,1,2,0,0,0,2,1
2017-03-27,1,0,1,0,2,1,2,0,2,1,1,0,2,0,1,0,0,2,2,2,2
2017-04-03,0,1,2,0,1,1,1,2,2,1,2,0,0,2,0,0,0,1,0,2,0
2017-04-10,1,2,2,0,2,2,2,2,1,1,0,1,0,1,0,0,0,0,2,2,2
2017-04-17,0,0,1,0,2,2,1,0,0,1,2,0,0,0,0,2,0,2,0,2,0
2017-04-24,1,1,2,0,0,2,2,2,1,1,0,1,0,2,0,0,0,1,1,2,2
2017-05-01,1,1,1,0,0,2,1,2,0,1,2,0,0,1,0,0,0,0,1,1,0
2017-05-08,0,1,2,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,2
2017-05-15,1,2,2,0,0,2,1,2,0,1,2,1,0,2,0,2,0,0,1,0,0
2017-05-22,0,0,1,0,0,1,2,0,1,1,0,0,0,1,0,0,0,0,1,0,2
2017-05-29,1,1,1,0,0,2,1,2,0,1,2,1,0,0,0,2,0,0,2,2,0
2017-06-05,1,2,2,0,0,1,2,0,1,1,0,0,0,2,0,0,0,0,1,2,1
2017-06-12,0,2,1,0,0,2,1,2,0,1,1,0,2,1,2,2,0,2,1,1,0
2017-06-19,2,0,1,0,2,1,2,0,2,1,0,1,2,0,1,0,0,1,1,2,1
2017-06-26,2,1,2,0,0,2,1,2,2,1,1,0,2,2,0,2,0,0,2,1,2
2017-07-03,2,2,1,0,0,1,2,0,2,1,2,1,0,1,2,0,0,2,0,2,0
2017-07-10,2,0,2,0,2,2,1,2,2,1,0,0,2,0,1,2,0,1,0,1,1
2017-07-17,2,1,1,0,1,2,2,0,2,1,1,2,2,2,1,0,0,0,2,1,2
2017-07-24,2,1,2,0,2,2,1,2,2,1,2,0,0,1,0,0,0,0,1,2,0
2017-07-31,2,2,1,0,2,1,2,0,2,1,0,1,0,0,0,0,0,2,1,1,2
2017-08-07,2,0,2,0,2,2,1,2,2,1,2,0,0,2,0,0,0,1,1,2,0
2017-08-14,2,1,2,0,2,1,2,0,2,1,0,2,0,1,0,0,0,0,1,1,1
2017-08-21,2,2,1,0,1,2,1,2,2,1,1,0,2,0,0,2,0,0,2,2,2
2017-08-28,2,0,1,0,2,1,2,0,2,1,2,1,0,2,0,0,0,2,1,1,0
2017-09-04,0,1,2,0,1,2,1,2,2,1,0,0,2,1,2,2,0,1,1,1,1
2017-09-11,1,2,1,0,2,1,2,1,2,1,1,1,2,0,1,2,0,0,1,1,0
2017-09-18,0,2,2,0,2,1,1,0,2,1,0,0,2,2,1,0,0,0,0,2,1
2017-09-25,1,0,1,0,0,1,2,2,2,1,1,1,2,1,1,2,0,2,2,2,2
2017-10-02,0,1,2,0,0,1,1,0,2,1,2,0,0,0,0,0,0,0,1,2,0
2017-10-09,1,1,1,0,0,2,2,2,2,1,0,2,0,2,0,0,0,2,1,1,2
2017-10-16,0,1,2,0,0,1,1,0,2,1,2,0,0,0,0,0,0,1,1,2,0
2017-10-23,1,2,1,0,2,1,2,2,2,1,0,2,0,2,0,2,0,0,0,1,2
2017-10-30,0,0,1,0,0,1,1,0,2,1,2,0,0,1,0,2,0,0,2,1,0
2017-11-06,1,1,2,0,0,2,2,2,2,1,0,2,0,0,0,0,0,0,0,1,1
2017-11-13,0,0,2,0,0,2,1,0,2,1,1,0,2,2,0,2,0,0,2,2,2
2017-11-20,1,1,1,0,2,2,2,2,2,1,2,1,0,1,0,0,0,0,1,2,0
2017-11-27,0,1,2,0,2,1,1,0,2,1,0,0,0,0,0,0,0,2,1,1,2
2017-12-04,1,1,1,0,0,1,2,2,2,1,2,2,0,2,0,0,0,1,1,1,0
2017-12-11,0,1,2,0,0,1,1,0,2,1,0,0,0,1,0,2,0,0,1,2,2
2017-12-18,1,1,1,0,0,2,2,2,2,1,2,2,0,0,2,2,0,0,1,1,0
2017-12-25,0,2,2,0,0,2,1,0,2,1,0,0,2,2,1,0,0,2,0,2,1
2018-01-01,1,0,1,0,0,2,2,2,2,1,1,1,2,1,1,2,0,1,2,2,2
2018-01-08,1,1,2,0,0,2,1,2,2,1,2,0,0,0,0,0,0,0,0,1,0
2018-01-15,0,2,1,0,2,2,2,1,2,1,0,1,2,2,2,2,0,2,0,1,1
2018-01-22,1,0,1,0,2,2,1,0,2,1,1,0,2,0,1,2,0,1,2,2,2
2018-01-29,0,1,2,0,0,1,2,2,2,1,2,1,0,2,1,0,0,0,0,1,1
2018-02-05,1,2,2,0,0,1,1,1,2,1,1,0,2,0,1,2,2,2,2,1,2
2018-02-12,0,0,1,0,0,2,2,0,2,1,2,1,0,2,1,0,2,1,0,2,0
2018-02-19,1,1,1,0,0,1,1,2,2,1,0,0,0,1,0,0,2,0,0,2,1
2018-02-26,0,0,2,0,2,1,2,0,2,1,1,1,2,1,0,2,2,2,2,2,2
2018-03-05,1,1,1,0,0,1,1,2,2,1,2,0,0,0,2,0,0,1,0,2,1
2018-03-12,0,2,2,0,0,1,2,1,2,1,1,1,2,2,1,2,2,0,2,2,0
2018-03-19,2,0,2,0,2,2,1,0,2,1,0,0,2,0,1,0,2,0,0,2,1
2018-03-26,2,1,1,0,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,0
2018-04-02,0,0,2,0,0,1,1,0,2,1,0,0,2,0,1,2,2,1,0,1,1
2018-04-09,1,1,1,0,0,2,2,2,2,1,1,2,2,2,1,0,2,0,2,2,2
2018-04-16,0,1,1,0,0,1,1,0,2,1,2,0,0,0,0,0,2,2,1,2,0
2018-04-23,1,1,2,0,0,1,2,2,2,1,0,2,0,2,0,0,2,1,1,2,2
2018-04-30,0,2,2,0,0,1,1,0,2,1,2,0,0,1,0,2,2,0,1,2,0
2018-05-07,1,0,1,0,0,2,2,2,2,1,0,1,0,0,2,0,2,0,0,1,1
2018-05-14,1,1,2,0,2,1,1,1,2,1,1,0,2,2,1,2,2,2,2,2,0
2018-05-21,0,2,1,0,2,1,2,1,2,1,0,1,2,0,1,0,2,1,0,2,1
2018-05-28,1,0,2,0,0,2,1,0,2,1,1,0,2,2,1,2,2,0,2,2,2
2018-06-04,0,1,1,0,0,2,2,2,2,1,2,1,0,0,1,0,2,2,0,2,1
2018-06-11,1,2,1,0,0,1,1,1,2,1,1,0,2,2,1,2,2,1,0,1,0
2018-06-18,0,0,2,0,2,2,2,1,2,1,0,1,2,0,1,0,2,0,2,2,1
2018-06-25,1,1,2,0,0,1,1,0,2,1,1,0,2,2,1,2,2,0,1,2,2
2018-07-02,0,0,1,0,0,2,2,2,2,1,2,1,0,1,1,0,2,2,1,2,0
2018-07-09,1,1,2,0,0,1,1,2,2,1,0,1,0,0,1,0,2,0,1,2,1
2018-07-16,0,1,1,0,0,2,2,0,2,1,1,0,0,2,1,0,2,2,1,1,2
2018-07-23,1,1,2,0,0,1,1,2,2,1,2,2,0,1,0,0,2,1,1,1,0
2018-07-30,0,1,1,0,0,1,2,2,2,1,0,0,0,0,2,2,2,0,1,2,1
2018-08-06,1,2,2,0,0,1,1,1,2,1,1,1,2,2,1,0,2,0,0,1,0
2018-08-13,0,0,1,0,2,2,2,0,2,1,0,0,2,0,1,2,2,0,2,2,2
2018-08-20,1,1,2,0,0,2,1,2,2,1,2,1,0,2,1,0,2,2,1,2,0
2018-08-27,0,0,1,0,0,2,2,0,2,1,0,0,0,1,0,0,2,1,1,2,2
2018-09-03,2,1,2,0,0,1,1,2,2,1,2,0,0,0,2,0,2,0,1,1,0
2018-09-10,2,2,1,0,0,2,2,0,2,1,0,1,2,2,1,2,2,0,0,2,1
2018-09-17,2,0,1,0,0,2,1,2,2,1,1,0,2,1,1,2,2,2,2,2,2
2018-09-24,2,1,2,0,0,1,2,2,2,1,2,2,0,0,0,0,2,1,0,2,1
2018-10-01,2,2,1,0,0,1,1,1,2,1,1,0,2,2,0,2,2,0,2,2,2
2018-10-08,2,2,2,0,0,2,2,1,2,1,2,1,0,0,2,0,2,2,1,1,1
2018-10-15,2,0,1,0,0,1,1,0,2,1,1,0,2,2,1,0,2,1,1,2,0
2018-10-22,2,1,2,0,0,1,2,2,2,1,0,1,2,1,0,2,2,0,0,2,1
2018-10-29,2,1,1,0,2,1,1,2,2,1,1,0,2,0,2,2,2,2,2,2,2
2018-11-05,2,1,1,0,1,1,2,0,2,1,2,1,0,2,1,0,2,1,1,2,1
2018-11-12,2,2,2,0,2,2,1,2,2,1,1,0,2,0,0,2,2,0,1,1,0
2018-11-19,2,0,2,0,1,1,2,1,2,1,0,2,2,2,2,2,2,0,0,1,1
2018-11-26,2,1,1,0,2,1,1,0,2,1,1,0,2,0,1,0,2,0,2,1,2
