Date,market_cap,block_difficulty,hash_rate,btc_price,transaction_count
2016-09-05,9318832762.471827,220755908330.372,1624127.687364614,587.9253157802456,218759.57142857142
2016-09-12,9796381906.82852,221325453792.84644,1660096.4018594741,617.5557175002087,215939.0
2016-09-19,9663894919.88259,225832872179.46,1691950.6686392515,608.6814715621609,220696.57142857142
2016-09-26,9564244040.344387,229363463245.87527,1789882.1043685228,601.9053188528013,224346.7142857143
2016-10-03,9686745965.818033,241227200229.99115,1797007.3077913944,609.0934164815899,233601.2857142857
2016-10-10,9791933400.652197,247572312578.04184,1900211.5507136085,615.1870676129248,250784.42857142858
2016-10-17,10181053604.554876,258522748404.51596,1733080.9055686886,639.1348347749854,230252.14285714287
2016-10-24,10205431793.340776,256956881590.43356,1850378.2720227041,640.1742965725973,230916.57142857142
2016-10-31,10989251357.306768,253618246641.4893,1900120.0216910243,688.7847092427152,245680.42857142858
2016-11-07,11394257129.132837,253959042785.22144,1792781.1754106872,713.6020258954662,253372.57142857142
2016-11-14,11359013341.551716,254620187304.062,2041431.6981702584,710.7951219086584,258534.85714285713
2016-11-21,11784239120.986158,268945166569.95645,1984563.26948161,736.7665278867831,271840.71428571426
2016-11-28,11796746655.899868,281800917193.195,2113267.135968787,736.9649567921853,288220.85714285716
2016-12-05,12095451607.371668,284578455446.2607,2126522.739101153,754.9985019078233,278204.14285714284
2016-12-12,12341897419.900286,286765766820.54987,2221775.302259137,769.734833209485,275281.71428571426
2016-12-19,12573689381.567846,303340003036.7661,2177699.61787987,783.5452263359773,271659.14285714284
2016-12-26,13978476878.984898,310153855703.43256,2317079.863851226,870.3835529013944,274584.28571428574
2017-01-02,15669062845.883457,315844143344.6093,2444491.3291709973,974.8375490189538,272187.28571428574
2017-01-09,15579963867.530851,317688400354.03357,2389160.8894504556,968.5020758036227,297737.28571428574
2017-01-16,13349848989.959967,334498491240.5853,2715508.757506967,829.1572316940803,277069.14285714284
2017-01-23,14620527003.337818,345507356954.7407,2844969.0415040357,907.2537300910077,273851.14285714284
2017-01-30,14698846521.662397,392963262344.369,3030608.6231551087,911.3250559405527,271829.5714285714
2017-02-06,16259806710.508852,401540010502.78406,3049314.4839247973,1007.2442044919429,291906.0
2017-02-13,16393536673.63328,422170566883.836,3162922.058358711,1014.7170241462794,295797.4285714286
2017-02-20,16930793447.640585,429107253874.0765,3176371.133729107,1047.105389083243,290384.14285714284
2017-02-27,18864537587.21224,440779902286.588,3374338.319658167,1165.7679733990128,300978.4285714286
2017-03-06,20352229174.39246,450122183428.724,3277151.714911247,1256.6604648325972,305793.4285714286
2017-03-13,19279965615.649944,460769358090.713,3429201.0772990296,1189.5098716122586,287115.0
2017-03-20,18019053636.7104,468542094779.66016,3537362.152915614,1110.8338414961993,290581.0
2017-03-27,16435938291.542805,475705205061.63055,3567384.3303243527,1012.3968239792933,268172.5714285714
2017-04-03,17511423703.584614,490505566190.6163,3685453.5715985186,1077.7621769307857,273202.28571428574
2017-04-10,19219995936.895195,499635929816.66644,3686525.8889375515,1181.9661727561158,270978.85714285716
2017-04-17,19375087577.12995,514449758606.9984,3683377.447640681,1190.563663480003,261576.0
2017-04-24,20115405705.65397,520808749422.141,3757682.2932846784,1235.0889756783843,278373.14285714284
2017-05-01,21997046946.29153,521627847386.24615,3919187.1687164227,1349.5483428279201,311252.5714285714
